Location,Site,Salinity,Turbid_Level1,Turbid_Level,Sal_Turb,Turbid_Level1,Turbidiy,Date,Bottle,Plate,Time_point,Time_day,Volume_mL,Raw_Count,Staph_CFU_100mL
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,5,t0,0,5,70,1400
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,6,t0,0,5,74,1480
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,2,t0,0,5,596,11920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,3,t0,0,5,388,7760
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,4,t0,0,5,528,10560
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,5,t0,0,5,660,13200
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,6,t0,0,5,620,12400
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,1,t0,0,5,480,9600
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,2,t0,0,5,1320,26400
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,3,t0,0,5,396,7920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,1,1,t0,0,5,396,7920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,5,t0,0,5,196,3920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,6,t0,0,5,196,3920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,1,t0,0,5,348,6960
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,2,t0,0,5,432,8640
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,3,t0,0,5,528,10560
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,4,t0,0,5,412,8240
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,5,t0,0,5,324,6480
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,3,6,t0,0,5,396,7920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/14/22,2,4,t0,0,5,560,11200
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,2,t0,0,5,136,2720
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,3,t0,0,5,162,3240
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,4,t0,0,5,74,1480
